SCORE:,total_score,coordinate_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,rmsd,stability_pure,stability_score_full,stability_without_pssm,timer,yhh_planarity,description
SCORE:,-1243.891,10.159,0,-2726.771,486.397,-780.414,4.929,89.572,391.821,1636.062,-108.404,-92.251,-68.138,-199.242,-66.965,49.49,-89.411,1.031,47.987,170.103,0.153,lowest_energy_1203_0001,,,,,,
SCORE:,-1243.841,10.351,0,-2727.002,485.554,-779.176,4.941,89.779,393.813,1632.677,-108.119,-91.955,-68.17,-199.394,-67.586,49.405,-89.481,1.03,47.88,171.459,0.153,lowest_energy_0317_0001,,,,,,
SCORE:,-1243.831,10.186,0,-2725.885,482.986,-781.073,4.932,89.117,393.985,1628.194,-108.042,-91.816,-67.959,-199.189,-67.292,49.804,-88.144,1.019,50.891,174.303,0.153,lowest_energy_0108_0001,,,,,,
SCORE:,-1243.786,10.369,0,-2726.182,482.968,-780.815,4.919,89.071,393.841,1628.306,-108.166,-91.805,-68.06,-199.343,-67.219,49.478,-89.187,1.034,48.499,178.353,0.153,lowest_energy_0707_0001,,,,,,
SCORE:,-1243.769,10.406,0,-2725.2,483.942,-780.475,4.924,89.307,395.461,1629.399,-107.726,-91.864,-68.029,-199.222,-67.175,49.508,-88.96,1.014,48.941,171.828,0.153,lowest_energy_0210_0001,,,,,,
SCORE:,-1243.695,10.061,0,-2723.376,486.338,-782.927,4.928,89.404,392.835,1633.062,-108.171,-91.966,-68.016,-199.172,-67.147,49.346,-88.643,1.005,48.674,169.917,0.153,lowest_energy_1402_0001,,,,,,
SCORE:,-1243.676,10.231,0,-2728.648,489.469,-781.138,4.935,90.435,393.458,1636.188,-108.035,-91.803,-68.012,-199.187,-67.683,49.446,-89.896,1.012,47.623,167.779,0.153,lowest_energy_1014_0001,,,,,,
SCORE:,-1243.629,10.265,0,-2725.138,484.732,-779.702,4.927,89.554,391.994,1631.651,-108.167,-91.927,-68.065,-199.304,-67.64,49.434,-89.233,1.024,48.054,173.758,0.153,lowest_energy_1007_0001,,,,,,
SCORE:,-1243.612,10.366,0,-2726.592,484.242,-779.904,4.928,89.241,394.641,1631.141,-108.089,-92.037,-67.907,-199.218,-67.463,49.358,-89.154,1.016,48.59,173.074,0.153,lowest_energy_0217_0001,,,,,,
SCORE:,-1243.59,10.116,0,-2727.033,484.246,-779.495,4.93,89.307,393.94,1632.715,-108.032,-91.99,-68.014,-199.189,-67.673,49.379,-88.868,1.005,48.367,172.547,0.153,lowest_energy_1702_0001,,,,,,
SCORE:,-1243.585,10.243,0,-2725.922,484.876,-783.102,4.927,89.645,393.789,1634.422,-108.318,-91.936,-68.04,-199.429,-67.077,49.562,-89.333,1.061,47.941,172.953,0.153,lowest_energy_1107_0001,,,,,,
SCORE:,-1243.56,10.761,0,-2730.84,490.333,-780.327,4.942,89.729,394.948,1631.666,-109.876,-92.404,-68.161,-199.219,-67.067,49.722,-89.048,1.098,48.419,171.611,0.153,lowest_energy_1201_0001,,,,,,
SCORE:,-1243.491,10.231,0,-2724.777,484.149,-780.533,4.921,89.097,393.914,1630.148,-108.037,-91.964,-68.036,-199.204,-67.301,49.382,-89.612,0.999,48.169,174.809,0.153,lowest_energy_0703_0001,,,,,,
SCORE:,-1243.439,10.299,0,-2729.402,486.601,-781.478,4.922,90.015,395.881,1635.441,-108.46,-91.934,-67.836,-199.697,-67.696,49.659,-89.378,1.064,47.998,170.409,0.153,lowest_energy_1710_0001,,,,,,
SCORE:,-1243.397,10.621,0,-2729.395,486.084,-779.485,4.957,89.274,398.812,1624.889,-108.248,-92.523,-67.937,-199.364,-67.317,49.071,-88.905,1.045,49.064,175.805,0.153,lowest_energy_1509_0001,,,,,,
SCORE:,-1243.391,10.535,0,-2723.992,483.56,-781.116,4.942,89.275,396.846,1624.505,-108.495,-92.052,-67.916,-199.627,-67.297,49.571,-89.417,1.06,48.673,177.402,0.154,lowest_energy_0709_0001,,,,,,
SCORE:,-1243.389,10.172,0,-2722.401,484.031,-780.558,4.92,89.062,393.997,1629.227,-108.068,-92.075,-67.952,-199.191,-67.422,49.41,-89.123,1.002,48.55,172.879,0.153,lowest_energy_0203_0001,,,,,,
SCORE:,-1243.387,10.291,0,-2723.253,483.825,-780.605,4.934,89.138,393.758,1627.431,-108.341,-92.305,-67.889,-199.359,-67.384,49.285,-89.119,1.016,48.789,176.25,0.153,lowest_energy_0706_0001,,,,,,
